category,load_level,load_label,delay_type,n_components,bic,aic,weights_mean,weights_std,weights,means,stds
网络流量负载,200,网络200M,上行时延,5,49941.86465754453,49831.97378405443,0.2,0.11321698949497216,"[0.20168572508493807, 0.07552881411035502, 0.20673468206378132, 0.40262011299480327, 0.11343066574612243]","[4.233892076455076, 6.104645058886469, 3.5954685785744043, 4.976112438434372, 6.762615837844328]","[0.36340679394222636, 0.2903071976899157, 0.5606852431964285, 0.25181733199516143, 0.21455941769972428]"
网络流量负载,200,网络200M,下行时延,5,51091.171937762636,50982.27306288957,0.2,0.15047807705926286,"[0.4363574853555205, 0.2653814373590724, 0.22062693494312907, 0.05743590042671344, 0.020198241915564588]","[4.818975926477997, 6.362835118062515, 3.9131735952758473, 2.2494674960646917, 0.69364374499256]","[0.22709286793751193, 0.43286049655109515, 0.4859841970473111, 0.7562750841630012, 1.4956737718944815]"
网络流量负载,300,网络300M,上行时延,5,61476.63139577465,61367.277557922105,0.2,0.04075951836787433,"[0.23345869556123686, 0.24197358775188108, 0.13350799944734687, 0.21748748650927877, 0.17357223073025646]","[2.6248376990836846, 4.721823049568715, 5.998101752049269, 3.880763936220786, 6.720178940184249]","[1.1603219423297282, 0.24842412601351846, 0.35834118679098165, 0.2653220840061175, 0.21682194676383112]"
网络流量负载,300,网络300M,下行时延,5,40099.42852231572,39989.52213963194,0.19999999999999998,0.09833289860044045,"[0.12570078903005238, 0.1992652898544499, 0.3883701573870268, 0.12188409915883008, 0.1647796645696408]","[5.846361597099085, 4.614472102633224, 5.026903826260535, 4.029000983730922, 6.383117724692956]","[0.32346515726466524, 0.2449645611388548, 0.15732370057157316, 0.7028353103070748, 0.36395780322548316]"
网络流量负载,400,网络400M,上行时延,5,50122.656041390685,50016.16698709309,0.2,0.09310221027616704,"[0.16520826955420148, 0.1424654206948433, 0.32290087350035324, 0.29252595661418235, 0.0768994796364196]","[5.875958717285354, 3.0082189928522656, 6.654398782600042, 4.539827201430262, 1.6731047274393436]","[0.328549664665907, 0.6884414255485368, 0.2482434999939348, 0.4545846203616144, 1.2953286433438025]"
网络流量负载,400,网络400M,下行时延,5,29400.585638278182,29290.665238256,0.2,0.1810435666801985,"[0.5493856660834795, 0.1491198768314343, 0.027930679137478164, 0.10828781697924729, 0.16527596096836072]","[5.149961751641909, 5.804964530975616, 7.041753575202491, 4.4229019713507265, 6.238285750139806]","[0.1713840190527284, 0.17467256213872884, 0.10003960855500971, 0.32660083113555893, 0.1682611276008988]"
网络流量负载,500,网络500M,上行时延,5,42748.84231257838,42642.10948148211,0.19999999999999998,0.10797545064938657,"[0.35017290786541794, 0.11943192033599301, 0.2587056004894267, 0.04211047653312861, 0.22957909477603367]","[6.693465714507147, 3.7794213318913465, 4.808820105708741, 2.280504797868183, 5.965112811478437]","[0.22401506320883793, 0.4442414955836617, 0.3281304420643733, 1.2844952086879435, 0.32037762595446656]"
网络流量负载,500,网络500M,下行时延,5,35093.38229838984,34983.47886851388,0.2,0.13054819651313465,"[0.2674793503052653, 0.08586944229302956, 0.39704272133335844, 0.21834640834547134, 0.03126207772287539]","[6.08490583712322, 4.617874576673124, 5.294896231585516, 6.190450423998181, 3.461002110356034]","[0.244466483669589, 0.46697856109956204, 0.16983554293175207, 0.4593494033174833, 0.8716803452346685]"
网络流量负载,600,网络600M,上行时延,5,47882.92317879647,47775.061205392136,0.2,0.12107704698727453,"[0.25875659036667553, 0.10366178582300933, 0.3944256600598147, 0.04924712756585956, 0.19390883618464083]","[6.008049518848698, 3.2588838557027273, 6.723235244089094, 1.7124046899643053, 4.822589860556908]","[0.3417557372491019, 0.7594927273092565, 0.23501800778007323, 1.3130335696753885, 0.42697389019674115]"
网络流量负载,600,网络600M,下行时延,5,32800.6532819749,32690.738782279423,0.19999999999999998,0.13900492072255904,"[0.13599507004106534, 0.34675268522553687, 0.38547383602360147, 0.04846933955868564, 0.08330906915111067]","[5.8078501290131195, 6.291362949270831, 5.17922260756151, 4.345369901975138, 7.089896172601137]","[0.20619393060529648, 0.16906314019899288, 0.17906468811066417, 0.6991890487874654, 0.10242820705525674]"
